wegsegmentID;geo;morfologie;status;beginWegknoopID;eindWegknoopID;linksStraatnaamID;rechtsStraatnaamID
1;LINESTRING (217368.75 181577.0159999989, 217400.1099999994 181499.5159999989);114;4;126722;41353;-9;-9
2;LINESTRING (243234.8929999992 160239.38300000131, 243245.99499999729 160238.79899999869, 243261.3599999994 160239, 243279.01600000259 160244.15700000149);120;4;3;4;-9;-9
3;LINESTRING (234943.39599999791 160737.82499999931, 234939.8610000014 160757.04699999839, 234938.6279999986 160765.61800000069);120;4;622147;6;-9;-9
4;LINESTRING (232327.0539999977 165044.6810000017, 232319.001000002 165050.8590000048, 232315.61000000691 165055.1250000037, 232306.7980000079 165065.4690000042, 232305.70400000361 165066.7840000056, 232299.626000002 165074.0930000059, 232292.47000000629 165082.2500000037, 232285.001000002 165090.4840000048, 232277.48500000691 165099.1090000048, 232271.84500000629 165105.39000000429, 232265.39200000459 165112.2180000059, 232258.01700000459 165120.0000000037, 232249.40700000519 165128.7180000059, 232240.81300000849 165137.14000000429, 232233.09500000629 165144.31200000271, 232224.20400000361 165152.64000000429, 232216.45400000361 165159.68700000271, 232207.9230000079 165167.0000000037, 232198.15700000519 165175.0940000042, 232186.48500000691 165184.42200000581, 232176.65700000519 165192.31200000271, 232165.73800000551 165200.831000004, 232161.65700000519 165204.01500000429, 232157.67400000239 165206.9280000031, 232152.4849999994 165213.46299999949);120;4;7;8;-9;-9
5;LINESTRING (220693.67199999839 180452.6259999983, 220693.76600000259 180453.71900000051, 220693.70300000161 180454.813000001, 220693.188000001 180456.2659999989, 220691.92199999839 180458.2659999989, 220689.21899999681 180461.813000001, 220688.2349999994 180463.32899999991, 220687.75 180464.5159999989, 220687.57800000161 180465.45399999991, 220687.64100000259 180466.21900000051);114;4;9;10;-9;-9
6;LINESTRING (219742.688000001 177266.625, 219748.501000002 177265.81300000471, 219759.2710000053 177263.2320000045, 219761.0210000053 177263.06700000539, 219766.452000007 177262.5540000051, 219771.56900000569 177261.37400000539, 219778.025000006 177260.082000006, 219790.93800000849 177257.37700000411, 219800.076000005 177255.132000003, 219811.04200000319 177252.5350000039, 219822.626000002 177248.4820000045, 219837.49900000539 177243.72300000489, 219843.1080000028 177241.81700000539, 219852.25700000671 177238.2340000048, 219858.4780000076 177235.72400000319, 219864.35000000891 177233.87800000611, 219880.70400000361 177228.7350000031, 219882.6099999994 177227.79699999839);120;4;650425;12;-9;-9
7;LINESTRING (217400.1099999994 181499.5159999989, 217403.47900000209 181499.40799999979, 217405.82800000161 181499.743999999);114;4;41353;146626;-9;-9
8;LINESTRING (200437.76600000259 184002.96900000051, 200414.08300000429 183993.18400000411, 200397.04700000581 183986.68800000471, 200385.03200000519 183982.42200000581, 200352.54700000581 183972.89100000259, 200340.95300000161 183969.78200000519, 200311.81300000849 183963.32900000361, 200284.8440000042 183959.29700000581, 200283.1810000017 183959.14500000331, 200257.188000001 183956.7659999989);120;4;593579;16;-9;-9
10;LINESTRING (233107.21999999881 184352.061999999, 233105.17199999839 184301.59299999851, 233102.626000002 184274.1090000011, 233100.20400000361 184236.78099999949, 233100.03199999779 184234.5);114;4;19;551619;-9;-9
12;LINESTRING (234953.6810000017 160690.53999999911, 234952.77499999851 160699.1259999983, 234950.42400000239 160708.04899999869, 234944.67199999839 160729.88399999961, 234943.39599999791 160737.82499999931);120;4;609932;622147;-9;-9
